1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
IF-RES-00180010,,Archiving COVID-19 Heritage in Ho Chi Minh City,Message from the Ministry of Health,Thông điệp của bộ y tế,IF-RES-00180010.jpg,,,Guidelines on living methods to protect respiratory health in particular and community health in general.,Hướng dẫn phương pháp sinh hoạt để bảo vệ sức khoẻ hô hấp nói riêng và sức khoẻ cộng đồng nói chung.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,Nơi Công Cộng,,
IF-RES-00180011,,Archiving COVID-19 Heritage in Ho Chi Minh City,COVID posters,COVID posters,IF-RES-00180011.jpg,,,"Posters with images of a person wearing a medical mask, washing hands, and using a disinfectant gun. ""Joint efforts to fight COVID-19.""","Posters với hình ảnh của người mang khẩu trang y, rửa tay và sử dụng súng khử trùng. ""Chung sức đồng lòng chống dịch COVID-19"".",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại;Quảng Cáo;Thông Báo,Đồ Bảo Hộ,Việt Nam Chiến Thắng Đại Dịch;Bình Thường Mới,,Đường Phố,,Giúp Đỡ Cộng Đồng
IF-RES-00180012,,Archiving COVID-19 Heritage in Ho Chi Minh City,IOT Check-In system at Bách Khoa,Hệ thống máy IOT Check-In Bách Khoa,IF-RES-00180012.jpg,,,"An innovative check-in booth at the National University for self-checking body temperature, student information, and hand washing.","Một booth check-in sáng tạo tại đại học Quốc Gia, tự kiểm tra nhiệt độ cơ thể, thông tin sinh viên và rửa tay.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại,Dụng Cụ Y Tế,,TestCovid,Cơ Quan,Hy Vọng;Biết Ơn,Giúp Đỡ Cộng Đồng
IF-RES-00180013,,Archiving COVID-19 Heritage in Ho Chi Minh City,Encouraging everyone to join hands to fight the epidemic,Cổ động toàn dân chung tay chống dịch,IF-RES-00180013.jpg,,,"Celebrating the first congress of the Ho Chi Minh Communist Youth Union, Ward 13, District 4, term 2022 - 2027.","Mừng đại hội Đại Biểu Đoàn TNCS Hồ Chí Minh Phường 13, quận 4, lần thứ I nhiệm kỳ 2022 - 2027",Vietnamese,,Photography,,"Phường 13, quận 4, TP.HCM",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại;Thông Báo,Biển Hiệu Cổ Động,Bình Thường Mới,,Đường Phố,Hy Vọng,
IF-RES-00180014,,Archiving COVID-19 Heritage in Ho Chi Minh City,Symptoms of COVID infection,Các triệu chứng nhiễm COVID,IF-RES-00180014.jpg,,,"Electronic advertisement with information about COVID symptoms such as fever, cough, difficulty breathing and advising anyone with these symptoms to immediately visit the nearest medical facility for consultation, examination, and treatment. This advertisement is on Nguyen Hue street, a tourist road.","Quảng cáo điện tử với thông điệp về các triệu chứng nhiễm COVID như sốt, ho, khó thở và nói bất cứ ai có những triệu chứng này phải đến ngay cơ sở y tế gần nhất để được tư vấn, thăm khám, chữa bệnh. Quảng cáo này ở đường Nguyễn Huệ, một con đường du lịch.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo;Chụp Điện Thoại;Quảng Cáo,Biển Hiệu Cổ Động,Bình Thường Mới,TestCovid,Đường Phố;Nơi Công Cộng,Hoảng Sợ;Lo Lắng,Giúp Đỡ Cộng Đồng;Cách Ly
IF-RES-00180015,,Archiving COVID-19 Heritage in Ho Chi Minh City,Going to the supermarket during the epidemic,Đi siêu thị mùa dịch,IF-RES-00180015.jpg,,,"I took this photo while queuing at SatraMart, a small supermarket about 1 kilometer from the dormitories. Under the social distancing measures of the local government in the summer of 2021, residents like me were only allowed to go out to buy essentials twice a week. Therefore, each household in the dormitory had to share ""market tickets"" to buy food and necessary items for living. This was the first meeting with more than 2 people during that time, and we also wanted to go together to help carry the food. We were very happy and... strange to see each other, so the group decided to go to another supermarket near the dormitory. We bought so much that we decided to cook curry to eat gradually that evening.","Mình chụp bức hình này trong lúc xếp hàng ở SatraMart, một siêu thị nhỏ các ký túc xá khoảng 1 cây số. Dưới phương pháp cách ly xã hội của chính quyền địa phương vào mùa hè năm 2021, những dân cư như mình chỉ được phép ra ngoài mua nhu yếu phẩm 2 lần một tuần. Chính vì thế, mỗi nhà trong ký túc xá phải chia nhau “vé đi chợ” để mua đồ ăn và những vật dụng cần thiết cho sinh hoạt. Đây là cuộc họp mặt đầu tiên mà có nhiều hơn 2 người trong suốt khoảng thời gian đó, tụi mình cũng muốn đi chung để có thể xách thực phẩm tiếp nhau. Tụi mình rất vui và…lạ vì được gặp nhau, nên cả nhóm quyết định đi thêm 1 siêu thị nữa ở gần ký túc xá. Mua nhiều quá nên tối ngày hôm đó thì tụi mình rủ nhau nấu cà ri để ăn dần.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Chụp Điện Thoại,Khẩu Trang,Bình Thường Mới,,Đường Phố,Hồi Hộp;Hy Vọng,
IF-RES-00180016,,Archiving COVID-19 Heritage in Ho Chi Minh City,Wall service advertisement,Biển quảng cáo dịch vụ trên tường,IF-RES-00180016.jpg,,,Advertisement for home consultation services for F0 patients.,Quảng cáo dịch vụ tư vấn bệnh nhân F0 tại gia.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Quảng Cáo,,,,,,
IF-RES-00180017,,Archiving COVID-19 Heritage in Ho Chi Minh City,Public sign,Biển báo công cộng,IF-RES-00180017.jpg,,,"Epidemic prevention sign placed in the center, under green trees and street vendor areas.","Biển báo chống dịch được đặt giữa trung tâm, dưới tán cây xanh và những khu hàng rong dưới đường.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo,Biển Hiệu Cổ Động,,,Cơ Quan,,
IF-RES-00180018,,Archiving COVID-19 Heritage in Ho Chi Minh City,Elevator front poster,Poster trước thang máy,IF-RES-00180018.jpg,,,Instructions on the proper use of masks in front of the elevator door.,Hướng dẫn sử dụng khẩu trang đúng cách trước cửa thang máy.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,,,
IF-RES-00180019,,Archiving COVID-19 Heritage in Ho Chi Minh City,Wall mural promoting 5k,Tranh tường cổ động 5k,IF-RES-00180019.jpg,,,"Part of a wall painting with the image of a medical staff member and 5k, and a message saying ""A steel shield to protect you from Covid-19"".","Một phần của bức tranh tường với hình người nhân viên y tế và 5k và lời nhắn nói ""Lá chắn thép để bảo vệ bạn khỏi Covid-19"". Bức tranh tường cho thấy các nhân viên y tế đang hành động và tôn vinh họ.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Hội Hoạ Đường Phố,,Việt Nam Chiến Thắng Đại Dịch;Bình Thường Mới;5k,,Đường Phố,Hồi Hộp;Hy Vọng;Biết Ơn,Giúp Đỡ Cộng Đồng
IF-RES-00180020,,Archiving COVID-19 Heritage in Ho Chi Minh City,Wall painting with a health worker and someone checking temperature,Tranh tường với hình người nhân viên y tế và ai đó đang kiểm tra nhiệt độ,IF-RES-00180020.jpg,,,"Part of a wall painting honoring medical staff as well as a person being temperature checked with information advising people to ""Always measure temperature to prevent illness"".","Một phần của bức tranh tường tôn vinh nhân viên y tế cũng như một người được kiểm tra nhiệt độ và có thông tin đề nghị mọi người ""Luôn đo thanh nhiệt để ngừa bệnh""",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Hội Hoạ Đường Phố,Khẩu Trang;Dụng Cụ Y Tế;Đồ Bảo Hộ;Đồ Cứu Trợ,Việt Nam Chiến Thắng Đại Dịch;5k,,Đường Phố,Hy Vọng;Biết Ơn,Giúp Đỡ Cộng Đồng;Tình Nguyện
IF-RES-00180021,,Archiving COVID-19 Heritage in Ho Chi Minh City,Streets after the epidemic,Đường phố sau dịch,IF-RES-00180021.jpg,,,The yellow line in front of the store lets customers know they should not cross it.,Lằn ranh vàng trước mặt cửa hàng cho khách biết rằng mình không nên bước qua.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại,Biển Hiệu Cổ Động;Đồ Bảo Hộ,Bình Thường Mới,Phong Tỏa,Đường Phố,,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180022,,Archiving COVID-19 Heritage in Ho Chi Minh City,Bình Chánh field hospital,Bệnh viện dã chiến Bình Chánh,IF-RES-00180022.jpg,,,The front gate of the Binh Chanh District field hospital.,Cổng trước của bệnh viện dã chiến Huyện Bình Chánh,Vietnamese,,Photography,,"Đường Nguyễn Văn Linh, Huyện Bình Chánh",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Nhiếp Ảnh,Rào Chắn,Bình Thường Mới,,Bệnh Viện Đa Chiến,,
IF-RES-00180023,,Archiving COVID-19 Heritage in Ho Chi Minh City,Wash hands,Rửa tay,IF-RES-00180023.jpg,,,Encouraging proper hand washing with soap.,Khuyến khích rửa tay đúng cách bằng xà phòng.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,Dụng Cụ Y Tế,,,Nơi Công Cộng,,
IF-RES-00180024,,Archiving COVID-19 Heritage in Ho Chi Minh City,Message 5-no,Thông điệp 5-không,IF-RES-00180024.jpg,,,The message of '5-no' hidden behind cluttered items.,Thông điệp 5-không ẩn mình sau các vật dụng bừa bãi,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo,Biển Hiệu Cổ Động,,,,,
IF-RES-00180025,,Archiving COVID-19 Heritage in Ho Chi Minh City,5k instruction poster,Áp phích hướng dẫn 5k,IF-RES-00180025.jpg,,,A poster on the street announcing 5k outside the British Consulate.,"Một áp phích trên đường phố thông bao về 5k, bên ngoài tổng lãnh sự quán Anh. ",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Chụp Điện Thoại,,5k,,Đường Phố,Lo Lắng;Hoảng Sợ,
IF-RES-00180026,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sign in the warehouse,Bảng hiệu trong kho,IF-RES-00180026.jpg,,,"Finally, the Covid-era signboards have been stored away. A signboard announces that one must ""Strictly follow 5K - the message to prevent Covid-19 epidemic.""","Cuối cùng thì các bảng hiệu thời Covid đã được cất vào kho. Một bảng hiệu thông báo rằng là phải ""Thực hiện nghiêm 5K - thông điệp phòng chống dịch Covid-19"".",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Chụp Điện Thoại;Thông Báo,Biển Hiệu Cổ Động,Bình Thường Mới;Việt Nam Chiến Thắng Đại Dịch;5k,,Đường Phố,,Cách Ly;Giúp Đỡ Cộng Đồng
IF-RES-00180027,,Archiving COVID-19 Heritage in Ho Chi Minh City,Check in,Check in,IF-RES-00180027.jpg,,,"Check in vaccine, body temperature, and disinfection.","Check in vaccine, nhiệt độ cơ thể, và sát khuẩn.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,,,,,
IF-RES-00180028,,Archiving COVID-19 Heritage in Ho Chi Minh City,Phú An pharmacy,Nhà thuốc Phú An ,IF-RES-00180028.jpg,,,Pharmacy sign with an epidemic prevention message.,Biển báo nhà thuốc đi kèm với thông điệp chống dịch,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo;Quảng Cáo,Biển Hiệu Cổ Động,,,,,
IF-RES-00180029,,Archiving COVID-19 Heritage in Ho Chi Minh City,The green zone has merged into the whole city,Vùng xanh đã hòa vào toàn thành phố,IF-RES-00180029.jpg,,,"""A banner announcing the Green Zone - Implementing Directive 16. The Green Zone is an area without F0, a dream of many people during the epidemic.""","Một biểu ngữ báo Vùng Xanh - Chốt thực hiện chỉ thị 16.
Vùng Xanh là vùng không có F0, là mơ ước của rất nhiều người trong mùa dịch.",Vietnamese,,Photography,,"Phường 13, Quận 4, TP.HCM",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Chụp Điện Thoại;Thông Báo,Biển Hiệu Cổ Động,,,Đường Phố,,
IF-RES-00180030,,Archiving COVID-19 Heritage in Ho Chi Minh City,An electronic advertisement with a message about COVID,Một quảng cáo điện tử với thông điệp về COVID,IF-RES-00180030.jpg,,,"Three-wheeled vehicle with the message ""everyone fights the epidemic"" on one side. The owner of the vehicle wrote this message themselves.","Một quảng cáo điện tử đối diện một trung tâm mua sắm nổi tiếng. Quảng cáo nay thông báo rằng mình nên bảo vệ chính bản, gia đình và xã hội.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Chụp Điện Thoại;Thông Báo;Quảng Cáo,Khẩu Trang;Đồ Bảo Hộ,Việt Nam Chiến Thắng Đại Dịch;Bình Thường Mới,,Đường Phố,Hồi Hộp;Hoảng Sợ;Lo Lắng,
IF-RES-00180031,,Archiving COVID-19 Heritage in Ho Chi Minh City,Advertising sign in front of the neighborhood,Biển quảng cáo trước khu phố,IF-RES-00180031.jpg,,,"Electronic advertisement opposite a famous shopping center. The advertisement now announces that one should protect themselves, their family, and society.",Quảng cáo khẩu trang mua một tặng một.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Quảng Cáo,,,,,,
IF-RES-00180032,,Archiving COVID-19 Heritage in Ho Chi Minh City,Barrier,Rào chắn,IF-RES-00180032.jpg,,,Advertisement for buy one get one free masks.,"Rào chắn, một tín hiệu cho việc hạn chế đi lại và ra vào trước khu vực công cộng.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo,,,,Nơi Công Cộng;Nhà,,
IF-RES-00180033,,Archiving COVID-19 Heritage in Ho Chi Minh City,GS25 Notice to wear masks,GS25 Thông báo đeo khẩu trang,IF-RES-00180033.jpg,,,"Barriers, a signal for restricting movement and access in front of public areas.",Cửa hàng tiện lợi GS25 yêu cầu khách hàng đeo khẩu trang khi thăm quan mua sắm.,Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Thông Báo,,5k,,Nơi Công Cộng,,
IF-RES-00180034,,Archiving COVID-19 Heritage in Ho Chi Minh City,Sell masks,Bán khẩu trang,IF-RES-00180034.jpg,,,GS25 convenience store requires customers to wear masks while shopping.,"Bảng quảng cáo cho các loại khẩu trang ngoài một nhà dân. Trong dịch, người dân vẫn cố gắng kinh doanh bằng cách này hay cách khác.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Thông Báo;Quảng Cáo;Chụp Điện Thoại,Khẩu Trang;Dụng Cụ Y Tế;Đồ Bảo Hộ;Biển Hiệu Cổ Động,Bình Thường Mới,,,,
IF-RES-00180035,,Archiving COVID-19 Heritage in Ho Chi Minh City,5k instruction poster,Áp phích hướng dẫn 5k,IF-RES-00180035.jpg,,,"Advertising board for various masks outside a house. During the epidemic, people still try to do business in one way or another.","Bảng hiệu nay ở một đại học và có thông tin về sử dụng đường dây nóng khi có dấu hiệu sốt, họ, khó thở gọi đường dây nóng.  Bảng hiệu cũng có thông tin về 5K.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới;Trong Dịch,Thông Báo;Chụp Điện Thoại,Biển Hiệu Cổ Động,Bình Thường Mới;5k,,,,
IF-RES-00180036,,Archiving COVID-19 Heritage in Ho Chi Minh City,Face shield forgotten,Face shield bị bỏ quên ,IF-RES-00180036.jpg,,,"A sign now at a university has information about using the hotline when showing signs of fever, cough, difficulty breathing. The sign also contains information about 5K.",Face shield bị bỏ quên ở bệnh viên dã chiến Huyện Bình Chánh,Vietnamese,,Photography,,"Đường Nguyễn Văn Linh, Huyện Bình Chánh",Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Bình Thường Mới,Nhiếp Ảnh,Dụng Cụ Y Tế;Đồ Bảo Hộ,,,Bệnh Viện Đa Chiến;Khu Cách Ly Tập Trung,Cô Đơn,
IF-RES-00180037,,Archiving COVID-19 Heritage in Ho Chi Minh City,COVID protection sign,Biển hộ phòng chống covid,IF-RES-00180037.jpg,,,Face shield forgotten at the Binh Chanh District field hospital.,"Tấm biển hiệu được treo trước sân, lưu lại cho những dịp sử dụng khác.",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch;Bình Thường Mới,Thông Báo,Biển Hiệu Cổ Động,,,,,
IF-RES-00180038,,Archiving COVID-19 Heritage in Ho Chi Minh City,A household is quarantined,Một hộ dân bị phong tỏa,IF-RES-00180038.jpg,,,"The signboard is hung in front of the yard, saved for other occasions.","Một hộ dân còn đang cách ly vì có F0 tại phường 9, quận 4",Vietnamese,,Photography,,,Viet Nam;Ho Chi Minh City,country;city,"[10.775556, 106.701944]",,,,,,,,,,Rachel Anne Tough,In Copyright (InC),,,,accessible to public,,,,,Trong Dịch,Thông Báo;Chụp Điện Thoại,,,Phong Tỏa,Nhà,Lo Lắng;Hoảng Sợ;Hồi Hộp;Cô Đơn,Cách Ly
